カテゴリー,問題番号,問題,選択肢,正解,解説
関税法（定義）,52-1-1,関税法2条の「輸入」とは、外国から本邦に到着した貨物(外国の船舶により(イ)で採捕された水産物を含む。)又は(ロ)を受けた貨物を本邦に（(ハ)を経由するものについては、(ハ)を経て本邦に）引き取ることをいう。,"1.(イ)接続水域 (ロ)輸出の許可 (ハ)保税蔵置場
2.(イ)領海 (ロ)輸入の許可 (ハ)保税蔵置場
3.(イ)領海 (ロ)輸出の許可 (ハ)指定保税地域
4.(イ)公海 (ロ)輸出の承認 (ハ)保税地域
5.(イ)公海 (ロ)輸出の許可 (ハ)保税地域",5,「輸入」とは、外国から本邦に到着した貨物（外国の船舶により公海で採捕された水産物を含む。）又は輸出の許可を受けた貨物を本邦に（保税地域を経由するものについては、保税地域を経て本邦に）引き取ることをいう(関税法2条1項1号)。
関税法（定義）,52-1-2,"「附帯税」とは、関税のうち延滞税、過少申告加算税、無申告加算税及び(ニ)をいう。
「開港」とは、貨物の輸出及び輸入並びに(ホ)の入港及び出港その他の事情を勘案して政令で定める港をいう。","1.(ニ)重加算税 (ホ)外国往来船
2.(ニ)重加算税 (ホ)外国貿易船
3.(ニ)利子税 (ホ)外国往来船
4.(ニ)利子税 (ホ) 沿海通航船",2,「附帯税」とは、関税のうち延滞税、過少申告加算税、無申告加算税及び重加算税をいう(関税法4条1項4号の2)。「開港」とは、貨物の輸出及び輸入並びに外国貿易船の入港及び出港その他の事情を勘案して政令で定める港をいう(同条項11号)。
関税法（関税の確定・納付）,52-2-1,"関税は、関税法又は関税定率法その他関税に関する法律に別段の規定がある場合を除くほか、(イ)が、これを納める義務がある。
特定保税運送に係る外国貨物で、その発送の日の翌日から起算して7日以内に運送先に到着しないものについて、関税を課する場合には、(ロ)がその関税を納める義務を負う。
関税定率法第15条第1項(特定用途免税)の規定により関税の免除を受けて輸入された貨物で、その免除に係る特定の用途以外の用途に供するため譲渡されたものについて、その免除を受けた関税を徴収する場合には、その(ハ)がその関税を納める義務を負う。","1.(イ)貨物を輸入する者 (ロ)特定保税運送者 (ハ)譲渡をした者
2.(イ)貨物を輸入する者 (ロ)貨物を運送する者 (ハ)貨物の占有者
3.(イ)貨物を輸入する者 (ロ)貨物を運送する者 (ハ)貨物の所有者
4.(イ)輸入の許可を受けた者 (ロ)特定保税運送者 (ハ)貨物の占有者
5.(イ)輸入の許可を受けた者 (ロ)貨物を運送する者 (ハ)譲渡をした者",1,関税は、この法律又は関税定率法その他関税に関する法律に別段の規定がある場合を除く外、貨物を輸入する者が、これを納める義務がある(関税法6条)。特定保税運送に係る外国貨物が発送の日の翌日から起算して7日以内に運送先に到着しないときは、特定保税運送者から、直ちにその関税を徴収する(同法65条2項)。関税定率法第15条第1項(特定用途免税)の規定により関税の免除を受けて輸入された貨物で、その免除に係る特定の用途以外の用途に供するため譲渡されたものについて、その免除を受けた関税を徴収する場合には、その譲渡をした者がその関税を納める義務を負う(同条2項本文)。
関税法（関税の確定・納付）,52-2-2,"保税蔵置場にある外国貨物で亡失したものについて、関税を課する場合には、(ニ)がその関税を納める義務を負う。
船用品として外国貿易船に積み込むことについて税関長の承認を受けた外国貨物で、その承認の際に税関長が指定した期間内に当該外国貿易船に積み込まれなかったものについて、関税を課する場合には、(ホ)がその関税を納める義務を負う。","1.(ニ)外国貨物を亡失させた者 (ホ)船用品の所有者
2.(ニ)外国貨物を亡失させた者 (ホ)外国貿易船の船長
3.(ニ)保税蔵置場の許可を受けた者 (ホ)積込みの承認を受けた者
4.(ニ)外国貨物を亡失させた者 (ホ)貨物の所有者
5.(ニ)外国貨物を亡失させた者 (ホ)貨物の占有者",3,保税蔵置場にある外国貨物が亡失したときは、当該保税蔵置場の許可を受けた者から、直ちにその関税を徴収する(関税法45条1項本文)。船用品として外国貿易船に積み込むことの承認を受けた船用品がその承認の際に税関長が指定した期間内に当該外国貿易船に積み込まれなかったものについては、積込みの承認を受けた者から、直ちにその関税を徴収する(同法23条6項本文)。 
関税法（関税の確定・納付）,52-3-1,"納税申告をした者は、当該納税申告により納付すべき税額に(イ)がある場合には、当該納税申告について税関長の更正があるまでは、修正申告をすることができる。
税関長の承認を受けて輸入の許可前に引き取られた貨物に係る更正の請求は、当該承認の日の翌日から起算して(ロ)を経過する日と(ハ)とのいずれか遅い日までの間に限り行うことができる。","1.(イ)超過額 (ロ)5年 (ハ)輸入申告の日
2.(イ)不足額 (ロ)5年 (ハ)輸入の許可の日
3.(イ)不足額 (ロ)3年 (ハ)貨物引き取りの日
4.(イ)誤り (ロ)1年 (ハ)輸入申告の日
5.(イ)誤り (ロ)5年 (ハ)輸入の許可の日",2,納税申告をした者は、当該納税申告により納付すべき税額に不足額がある場合には、当該納税申告について税関長の更正があるまでは、修正申告をすることができる(関税法7条の14第1項1号)。税関長の承認を受けて輸入の許可前に引き取られた貨物に係る更正の請求は、当該承認の日の翌日から起算して5年を経過する日と輸入の許可の日とのいずれか遅い日までの間に限り行うことができる(同法7条の15第1項)。
関税法（関税の確定・納付）,52-3-2,税関長は、納税申告が必要とされている貨物についてその輸入の時までに当該納税申告がないときは、その(ニ)により、当該貨物に係る課税標準又は納付すべき税額を決定することとされており、その決定は、(ホ)を送達して行うこととされている。,"1.(ニ)確認 (ホ)納税告知書
2.(ニ)調査 (ホ)納税告知書
3.(ニ)調査 (ホ)決定通知書
4.(ニ)職権 (ホ)納税告知書
5.(ニ)職権 (ホ)決定通知書",3,税関長は、納税申告が必要とされている貨物についてその輸入の時までに当該納税申告がないときは、その調査により、当該貨物に係る課税標準又は納付すべき税額を決定することとされており、その決定は、決定通知書を送達して行うこととされている(関税法7条の16第2項4項)。
関税法（輸入通関）,52-4-1,"貨物を輸入しようとする者は、当該貨物の(イ)並びに課税標準となるべき数量及び価格(特例申告に係る貨物については数量及び価格)その他必要な事項を税関長に申告し、貨物につき必要な(ロ)を経て、その許可を受けなければならない。
本邦に本店又は主たる事務所を有しない法人である輸入申告を行うべき者が本邦にその事務所及び事業所を有せず、又は有しないこととなる場合において、輸入申告を行う必要があるときは、その者は、当該輸入申告を行わせるため、本邦に本店又は主たる事務所を有する者で当該輸入申告を行うことにつき便宜を有するもののうちから(ハ)を定めなければならない。","1.(イ)形状 (ロ)検査 (ハ)通関代理人
2.(イ)品名 (ロ)検査 (ハ)税関事務管理人
3.(イ)種類 (ロ)確認 (ハ)通関代理人
4.(イ)品名 (ロ)確認 (ハ)税関事務管理人
5.(イ)種類 (ロ)審査 (ハ)納税管理人",2,貨物を輸入しようとする者は、当該貨物の品名並びに課税標準となるべき数量及び価格(特例申告に係る貨物については数量及び価格)その他必要な事項を税関長に申告し、貨物につき必要な検査を経て、その許可を受けなければならない(関税法67条)。本邦に本店又は主たる事務所を有しない法人である輸入申告を行うべき者が本邦にその事務所及び事業所を有せず、又は有しないこととなる場合において、輸入申告を行う必要があるときは、その者は、当該輸入申告を行わせるため、本邦に本店又は主たる事務所を有する者で当該輸入申告を行うことにつき便宜を有するもののうちから税関事務管理人を定めなければならない(同法95条1項)。 
関税法（輸入通関）,52-4-2,"輸入申告を行うべき者は、税関事務管理人を定めたとき、又はその定めた税関事務管理人を(ニ)したときは、当該税関事務管理人に係る輸入申告に係る税関長にその旨を届け出なければならない。
輸入申告を行った税関事務管理人は、当該輸入申告に係る輸入申告を行うべき者が関税法の規定により保存すべきこととされている(ホ)について、税関長から提示を求められた場合には、当該税関長に当該(ホ)を提示しなければならない。","1.(ニ)解任 (ホ)帳簿及び書類
2.(ニ)弾劾 (ホ)委託契約書類
3.(ニ)弾劾 (ホ)輸入申告書
4.(ニ)再任 (ホ)帳簿及び書類
5.(ニ)再任 (ホ)輸入申告書",1,輸入申告を行うべき者は、税関事務管理人を定めたとき、又はその定めた税関事務管理人を解任したときは、当該税関事務管理人に係る輸入申告に係る税関長にその旨を届け出なければならない(関税法95条2項)。輸入申告を行った税関事務管理人は、当該輸入申告に係る輸入申告を行うべき者が関税法の規定により保存すべきこととされている帳簿及び書類について、税関長から提示を求められた場合には、当該税関長に当該帳簿及び書類を提示しなければならない(同条3項)。 ※(ホ)は、出題当時においては「帳簿書類」とされていたのだが、令和4年は関税法において納税に関する帳簿の呼び方も変わったものがあることから、現在では「帳簿及び書類」とされる。紙の帳簿・書類が電子データの帳簿・書類に変わったことによるものであり、内容自体が全然違うというわけではないのであまり気にしなくてよい。
関税定率法（軽減・免除・払戻し）,52-5-1,関税定率法第11条に規定する減税の対象となる貨物は、加工又は修繕のため本邦から輸出され、その輸出の許可の日から(イ)（(イ)を超えることがやむを得ないと認められる理由がある場合において、政令で定めるところにより税関長の承認を受けたときは、(イ)を超え税関長が指定する期間）以内に輸入される貨物（(ロ)のものについては、(ハ)と認められるものに限る。）である。,"1.(イ)2年 (ロ)組立てのため (ハ)本邦の産業に実質的な損害を与えない
2.(イ)2年 (ロ)修繕のため (ハ)本邦においてその修繕をすることが困難である
3.(イ)1年 (ロ)修繕のため (ハ)本邦においてその修繕をすることが困難である
4.(イ)1年 (ロ)加工のため (ハ)本邦においてその加工をすることが困難である
5.(イ)6月 (ロ)加工のため (ハ)本邦においてその加工をすることが困難である",4,関税定率法第11条に規定する減税の対象となる貨物は、加工又は修繕のため本邦から輸出され、その輸出の許可の日から1年（1年を超えることがやむを得ないと認められる理由がある場合において、政令で定めるところにより税関長の承認を受けたときは、1年を超え税関長が指定する期間）以内に輸入される貨物（加工のためのものについては、本邦においてその加工をすることが困難であると認められるものに限る。）である。
関税定率法（軽減・免除・払戻し）,52-5-2,関税定率法第11条の規定により関税の軽減を受けようとする貨物を輸出しようとする者は、税関長が当該貨物の(ニ)のため必要と認めて指示したときは、その輸出の際に、(ホ)その他の(ニ)のための措置をとらなければならない。,"1.(ニ)加工又は修繕の明細の確認 (ホ)当該貨物に係る加工又は修繕のために輸出する旨を証する書類の提出
2.(ニ)再輸入の確認 (ホ)当該貨物につき記号の表示
3.(ニ)関税の軽減額の計算 (ホ)当該貨物に係る関税の軽減額の計算の基礎を記載した明細書の提出
4.(ニ)関税の軽減額の計算 (ホ)当該貨物につき記号の表示",2,関税定率法第11条の規定により関税の軽減を受けようとする貨物を輸出しようとする者は、税関長が当該貨物の再輸入の確認のため必要と認めて指示したときは、その輸出の際に、当該貨物につき記号の表示その他の再輸入の確認のための措置をとらなければならない(同法施行令5条2項)。
