カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
輸入通関,57-1-1,A,"関税法第67条の19(輸入申告の特例)の規定により、(イ)は、同法第67条の2第1項又は第2項(輸出申告又は輸入申告の手続)の規定にかかわらず、いずれかの税関長に対して輸入申告をすることができる。
輸入の許可を受けようとする貨物についての検査を税関長が指定した場所以外の場所で受けようとする者は、その貨物の品名及び数量並びにその検査を受けようとする(ロ)、場所及び事由を記載した申請書を当該貨物の置かれている場所を所轄する税関長に提出し、その(ハ)を受けなければならない。","1.(イ)特例輸入者又は特例委託輸入者(ロ)期間(ハ)許可
2.(イ)特例輸入者又は特例委託輸入者(ロ)特例輸入者又は認定通関業者(ハ)認可
3.(イ)特例輸入者又は認定通関業者(ロ)認定通関業者(ハ)許可
4.(イ)特例輸入者又は認定通関業者(ロ)者の代理人(ハ)承認
5.(イ)認定通関業者(ロ)期間(ハ)許可",1,"輸出入の申告は貨物を搬入する保税地域等の所在地を所轄する税関長に申告するのが原則であるが(関67条の2第1項)、例外が2つある。1つは本船扱い・ふ中扱いの場合で、外国貿易船（はしけ等を含む。）の係留場所を所轄する税関長に申告できる(関67条の2第2項、関令59条の4)。もう1つは輸出申告の特例と輸入申告の特例の場合であり、いずれかの税関長に対して申告できる(関67条の3第1項、67条の19)。(イ)はいずれかの税関長に対して輸入申告をすることができる場合を問うているので、輸入申告の特例の場合について答えなければならない。このとき、特例輸入者又は特例委託輸入者がいずれかの税関長に対して輸入申告できる。なお、輸入申告や特例申告を行うのは特例輸入委託輸入者であり、手続を認定通関業者に委託しているだけであるから、認定通関業者が輸入申告をするわけではないことに注意してほしい。
[参照　第2編（関税法）-第3章（輸出入申告）-1.申告先、第2編（関税法）-第4章（輸出入申告の特例）-2.輸入申告の特例-（1）特徴]

指定された場所以外の場所で貨物の検査を受けようとする者は、貨物の品名・数量・検査を受けようとする期間・場所・事由を記載した申請書を、検査を受けようとする貨物の置かれている場所を所轄する税関長に提出しその許可を受けなければならない(指定地外検査 関69条2項、関令62条、関通69-1-2、69-3-2)。
[参照　第2編（関税法）-第3章（輸出入申告）-7.審査、検査]"
特恵関税、経済連携協定,57-1-2,A,輸入申告に係る貨物について、経済連携協定における関税についての特別の規定による便益の適用を受けようとする場合において、当該貨物の課税価格の総額が(ニ)であるときは、当該貨物が当該経済連携協定の規定に基づき当該経済連携協定の締約国の原産品とされるものであることを証明した又は(ホ)書類を税関長に提出することを要しない。,"1.(ニ)10万円以下(ホ)届け出る
2.(ニ)10万円以下(ホ)申告する
3.(ニ)20万円以下(ホ)申告する
4.(ニ)20万円以下(ホ)届け出る
5.(ニ)30万円以下(ホ)申告する",3,"輸入申告に係る貨物について、経済連携協定における関税についての特別の規定による便益の適用を受けようとする場合（つまりEPA税率を適用しようとする場合）において、貨物の課税価格の総額が20万円以下であるときは、当該貨物が当該経済連携協定の規定に基づき当該経済連携協定の締約国の原産品とされるものであることを証明した書類（つまり締約国原産地証明書）又は当該貨物が当該経済連携協定の規定に基づき当該経済連携協定の締約国の原産品とされるものであることを申告する書類（つまり締約国原産品申告書等）を提出しなくてもよい(関令61条1項2号イ)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
関税の確定,57-2-1,A,申告納税方式とは、納付すべき税額又は当該税額がないことが(イ)のする申告により確定することを原則とし、その申告がない場合又はその申告に係る税額の計算が関税に関する法律の規定に従っていなかった場合その他当該税額が税関長の調査したところと異なる場合に限り、税関長の(ロ)により確定する方式をいう。,"1.(イ)荷受人(ロ)賦課決定通知書
2.(イ)荷受人(ロ)処分
3.(イ)納税義務者(ロ)賦課決定通知書
4.(イ)納税義務者(ロ)処分
5.(イ)納税義務者(ロ)命令",4,"申告納税方式とは、納付すべき税額又は当該税額がないことが納税義務者のする申告により確定することを原則とし、その申告がない場合又はその申告に係る税額の計算が関税に関する法律の規定に従っていなかった場合その他当該税額が税関長の調査したところと異なる場合に限り、税関長の処分により確定する方式をいう(関6条の2第1項1号)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-1.申告納税方式-（1）申告納税方式の内容]"
関税の確定,57-2-2,A,"本邦に入国する者は、関税法第67条の規定により、その入国の際に貨物を携帯して輸入しようとする場合、当該貨物の品名並びに(ハ)その他必要な事項を税関長に申告しなければならない。この場合において、その申告に係る課税標準が税関長の調査したところと同じであるときは、その納付すべき税額の決定は、税関長がその決定に係る当該納付すべき税額その他の事項を記載した(ニ)を送達し、又は税関職員に口頭で当該決定の通知をさせることにより行う。
電子情報処理組織による輸出入等関連業務の処理等に関する法律第4条の規定による関税等の口座振替納付において、納税義務者から預金の払出しとその払い出した金銭による関税等の納付を委託された金融機関が、税関長からその納付に必要な納付書の送付をされた場合において、その送付があった日の翌日までに当該納付書に基づき当該関税等を納付したときは、当該納付は当該納付書の送付の日にされたものとみなして、(ホ)に関する規定を適用する。","1.(ハ)課税標準となるべき数量及び価格、適用される税率並びに納付すべき税額(ニ)賦課決定通知書(ホ)附帯税
2.(ハ)課税標準となるべき数量及び価格、適用される税率並びに納付すべき税額(ニ)納税告知書(ホ)延滞税
3.(ハ)課税標準となるべき数量及び価格並びに納付すべき税額(ニ)賦課決定通知書(ホ)附帯税
4.(ハ)課税標準となるべき数量及び価格並びに納付すべき税額(ニ)賦課決定通知書(ホ)利子税
5.(ハ)課税標準となるべき数量及び価格(ニ)納税告知書(ホ)延滞税",5,"関税法67条により、貨物を輸出し、又は輸入しようとする者は、貨物の品名、数量、価格その他必要な事項を税関長に申告しなければならないとされる。輸入貨物については輸出貨物と異なり納税の申告も必要なので、これらの申告すべき事項のうち数量と価格はそれぞれ、課税標準となるべき数量及び価格とされる。関税法67条には貨物の引取りの申告である輸入申告について規定され、関税法7条には納税申告について規定されている。そして通常の輸入申告は、引取りの申告と納税申告を輸入(納税)申告として同時に行うため、もしかすると納税申告として納付すべき税額の申告も必要ではないかと考えてしまうかもしれないが、ここで問われているのは輸入貨物が携帯品の場合である。輸入貨物が携帯品の場合は賦課課税方式であり、賦課課税方式とは納付すべき税額が専ら税関長の処分により確定する方式であるから(関6条の2第1項2号)、納付すべき税額を申告するのはおかしいと気づけば、「課税標準となるべき数量及び価格」が正解であり、納税すべき税額が申告対象に挙がっている選択肢は誤りだと気づくことができる。
納付すべき税額の決定は、税関長がその決定に係る納付すべき税額その他の事項を記載した賦課決定通知書を送達して行うのが原則だが、本問のように携帯品の輸入申告で、輸入申告に係る課税標準が税関長の調査したところと同じであるときは、納税告知書を送達するか、税関職員に口頭で当該決定の通知をさせて行うこともできる(関8条4項)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-2.賦課課税方式-（3）賦課決定と納税告知]

電子情報処理組織による輸出入等関連業務の処理等に関する法律（いわゆるNACCS法）においては、4条で関税等の口座振替納付について規定されている。
納税義務者から預金の払出しとその払い出した金銭による関税等の納付を委託された金融機関へは、関税等の納付のために、税関長から納付に必要な納付書の送付がされる。
そして納付書が送付された場合には、当該納付書の送付の時に当該納付書に係る関税等が納付されたものとみなされ輸入許可がされる(NACCS法4条2項、関72条)。本来は関税等の納付がされた後に輸入許可がされるが、実際にはまだ預金からお金が払い出されて関税等が納付されていなかったとしても、納付書の送付時に納付されたとみなされて輸入許可がされる制度である。
そうすると時系列で並べると、金融機関へ納付書が送付→関税等の納付がされたとみなされる→輸入許可がされる→実際に納税義務者の預金からお金が払い出されて関税等が納付される、ということが起こりうる。この場合法定納期限が原則通り輸入許可の日であるとすれば、輸入許可の日の翌日から実際に納付される日までの間の延滞税がかかってしまうため(関12条1項9項)、口座振替納付を利用する納税義務者に不都合である。
そこでNACCS法4条3項では、送付があった日の翌日までに当該納付書に基づき当該関税等を納付したときは、当該納付は当該納付書の送付の日にされたものとみなして、延滞税に関する規定を適用すると定める。つまり、送付があった日の翌日までに当該納付書に基づき当該関税などを納付したときは、当該納付は当該納付書の送付の日にされたものとみなして延滞税を計算するという意味であり、そうすると法定納期限前に納付したとみなして延滞税を計算するのであるから、延滞税はかからない。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-1.関税の納付-（2）口座振替]"
保税地域,57-3-1,A,保税蔵置場に外国貨物を置くことができる期間は、当該貨物を(イ)から(ロ)である。,"1.(イ)最初に保税蔵置場に置くことが承認された日(ロ)2年
2.(イ)最初に保税蔵置場に置くことが承認された日(ロ)3月
3.(イ)外国貨物を保税蔵置場に置いた(ロ)2年
4.(イ)外国貨物を保税蔵置場に置いた(ロ)3月
5.(イ)外国貿易船又は外国貿易機から取り卸した日(ロ)2年",1,"保税蔵置場に外国貨物を置くことができる期間は、当該貨物を最初に保税蔵置場に置くことが承認された日から2年とする(関43条の2第1項)。これは蔵入承認を受けた長期蔵置の期間についての規定であり、蔵入承認を受けない一時蔵置の期間は、原則として貨物を入れた日から3月である(関43条の3第1項)。
[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（2）蔵置期間]"
保税地域,57-3-2,A,"(ハ)者は、当該保税蔵置場の(ニ)を増加し、若しくは減少し、又はその改築、移転その他の工事をしようとするときは、あらかじめその旨を税関に届け出なければならない。
保税蔵置場にある外国貨物(輸出の許可を受けた貨物を除く。)が(ホ)ときは、あらかじめ税関長の承認を受けている場合を除き、当該(ハ)者から、直ちにその関税を徴収する。","1.(ハ)保税蔵置場の許可を受けた(ニ)貨物の取扱数量(ホ)亡失した
2.(ハ)保税蔵置場の許可を受けた(ニ)貨物の収容能力(ホ)滅却された
3.(ハ)保税蔵置場の施設を所有する(ニ)貨物の取扱数量(ホ)亡失した
4.(ハ)保税蔵置場の施設を所有する(ニ)貨物の収容能力(ホ)滅却された
5.(ハ)保税蔵置場の施設を所有する(ニ)貨物の保管機能(ホ)消費された",2,"保税地域の許可を受けた者は、当該保税蔵置場の貨物の収容能力を増加し、若しくは減少し、又はその改築、移転その他の工事をしようとするときは、あらかじめその旨を税関に届け出なければならない(関44条1項)。
[参照　第2編（関税法）-第10章（保税地域）-9.共通ルール3（指定保税地域以外の保税地域に共通する事項）-（2）貨物の収容能力の増減等の届出]

保税蔵置場にある外国貨物で輸出の許可を受けた貨物以外の貨物が亡失したときや滅却されたときは、保税蔵置場の許可を受けた者から、直ちにその関税を徴収する。ただし、外国貨物が災害その他やむを得ない事情により亡失した場合や、あらかじめ税関長の承認を受けて滅却された場合は、関税を徴収しない(関45条1項)。問題文には「あらかじめ税関長の承認を受けている場合を除き」とあるので、亡失したときではなく滅却されたときについて問われている。そもそも亡失とは貨物がうっかり消えてしまったり盗まれたりと許可を受けた者の意思以外で物理的に貨物が存在しなくなる場合なので、前もって（あらかじめ）承認を受けて亡失するという選択肢は日本語としておかしい。
[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（4）亡失、滅却、廃棄と関税の徴収]"
還付,57-4-1,C,"関税法第2条第1項第4号の2(定義)に規定する「附帯税」とは、関税のうち延滞税、過少申告加算税、無申告加算税及び(イ)をいう。
関税法第13条第2項(還付及び充当)に規定する還付加算金の(ロ)の割合は、同項の規定にかかわらず、当分の間、各年の(ハ)(各年の前々年の9月から前年の8月までの各月における短期貸付けの平均利率(当該各月において銀行が新たに行った貸付け(貸付期間が1年未満のものに限る。)に係る利率の平均をいう。)の合計を12で除して計算した割合として各年の前年の11月30日までに財務大臣が告示する割合に年0.5%の割合を加算した割合)が(ロ)の割合に満たない場合には、その年中においては、当該(ハ)とする。","1.(イ)利子税 (ロ)年7.3% (ハ)還付加算金確定割合
2.(イ)不納付加算税 (ロ)年14.6% (ハ)還付加算金実行割合
3.(イ) 不納付加算税 (ロ) 年15% (ハ)還付加算金特例基準割合
4.(イ)重加算税 (ロ)年7.3% (ハ)還付加算金特例基準割合
5.(イ)重加算税 (ロ)年14.6% (ハ)還付加算金特例基準割合",4,"「附帯税」とは、関税のうち延滞税、過少申告加算税、無申告加算税及び重加算税をいう(関2条1項4号の2)。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-概要]

税関長は、関税に過誤納金（かごのうきん）があるときは、遅滞なく、金銭で還付しなければならない(関13条1項)。過誤納金とは、本来納めなければいけない金額より多く納めた税金のことである。つまり、余分に納めた関税は、納めた人にお金で還付（返すこと。）しなければならない。このとき、余分に納めた分だけ返せばいいのではなく、返すまでの期間に応じて年7.3%の利息のようなものをプラスした上で返さなければならず、このプラスされる部分を還付加算金という。例えば1,000万円還付するときは、1年で1,000万円×0.073＝73万円の還付加算金をプラスして返す。（正確には、もっと細かい計算方法が決まっている。）。しかし、この年7.3%という割合については、当分の間、各年の還付加算金特例基準割合が年7.3%の割合に満たない場合には、その年中においては、当該還付加算金特例基準割合とされる(関附則5)。つまり年7.3%と年ごとの還付加算金特例基準割合というものをくらべて、後者の割合の数字の方が小さければ後者で還付加算金を計算するよという規定が存在する。言い換えれば、還付加算金特例基準割合で計算した方が安くなるならそっちで計算するのである。例えば還付加算金特例基準割合が年1%なら、年7.3%より年1%の割合の方が小さいので年1%で計算する。「各年の」とされているのは、還付加算金特例基準割合は、例えば令和X年は1%で翌年は0.9%というように毎年変動するため、年ごとに分けて判断するからである。「当分の間」とされているのは、一応しばらくの間はこのように計算するけど、それをいつまで続けるかははっきりしないからねという注意書きのようなものである。関附則5で定められている限りこの計算方法は適用されるので気にしないでよい。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-3.還付-（1）還付、他の関税への充当、（2）還付加算金]"
関税率,57-4-2,B,関税定率法第3条の2第1項本文(入国者の輸入貨物に対する簡易税率)の規定により、本邦に入国する者がその入国の際に携帯して輸入する貨物に対する関税の率は、輸入貨物について課される(ニ)を基礎として算出した同法別表の付表第1に定める税率によることとされており、同付表において、一部のアルコール飲料や(ホ)については個別の税率が定められ、その他の物品については15%の税率が定められている。,"1.(ニ)関税、内国消費税及び地方消費税の率を総合したもの (ホ)加熱式たばこその他の非燃焼吸引用の物品
2.(ニ)関税、消費税及び地方消費税の率を総合したもの (ホ)加熱式たばこその他の非燃焼吸引用の物品
3.(ニ)関税、内国消費税及び地方消費税の率を総合したもの (ホ)紙巻たばこ
4.(ニ)関税、消費税及び地方消費税の率を総合したもの (ホ)紙巻たばこ
5.(ニ)通常の関税率 (ホ)紙巻たばこ",1,"本邦に入国する者がその入国の際に携帯して輸入する貨物に対する関税の率は、輸入貨物について課される関税、内国消費税及び地方消費税の率を総合したものを基礎として算出した同法別表の付表第1に定める税率による(簡易税率 関率3条の2第1項)。簡易税率として関税と消費税（消費税＝内国消費税＋地方消費税）を合わせた税率になっており、付表第1に具体的な品目と簡易税率が定められている。この付表においては、一部のアルコール飲料や加熱式たばこその他の非燃焼吸引用の物品については個別の税率が定められ、その他の物品については15%の税率が定められている。加熱式たばこその他の非燃焼吸引用の物品については本問が出題された令和5年の法改正により簡易税率が新設されたので、法改正部分からの出題となる。
[参照　第3編（関税定率法、関税暫定措置法）-第1章（課税要件2（課税標準、税率、関税額計算））-2.税率-（2）一般の税率と簡易税率-②簡易税率-ⅱ入国者の輸入貨物に対する簡易税率]"
特恵関税、経済連携協定,57-5-1,A,"関税暫定措置法第8条の2第1項に規定する特恵受益国等を原産地とする物品について、同項の特恵関税の適用を受けようとする場合において、当該物品の課税価格の総額が(イ)であるときは、当該特恵関税に係る原産地証明書を税関長に提出することを要しない。
関税暫定措置法第8条の2第1項に規定する特恵受益国等を原産地とする物品のうち、その原産地である特恵受益国等から当該特恵受益国等以外の地域を経由して本邦へ向けて運送される物品であっても、当該地域において、運送上の理由による(ロ)及び一時蔵置の取扱いのみがされたものについては、同項の特恵関税の適用を受けることができる。","1.(イ)1万円以下 (ロ)国際競争力 
2.(イ)1万円以下 (ロ)機能及び特性
3.(イ)10万円以下 (ロ)積替え
4.(イ)20万円以下 (ロ)機能及び特性
5.(イ)20万円以下 (ロ)積替え",5,"特恵関税の適用を受けようとする場合は原産地証明書を税関長に提出するのが原則であるが、当該物品の課税価格の総額が20万円であるときは要しない(暫令27条1項2号)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]

特恵受益国等を原産地とする物品が特恵関税の適用を受けるためには、基本的には非原産国を経由せず本邦へ向けて直接に運送される物品であることを要するが、非原産国を経由して本邦へ向けて運送される物品であっても、当該非原産国において、運送上の理由による積替えか一時蔵置の取扱いのみがされたものについては、特恵関税の適用を受けることができる(暫令31条1項2号)。
[参照　第3編（関税定率法、関税暫定措置法）-第8章（特恵関税、経済連携協定、WTO協定）-4.積送基準-（1）特恵関税]"
特恵関税、経済連携協定,57-5-2,A,"関税暫定措置法第8条の2第1項の特恵関税に係る原産地証明書は、災害その他やむを得ない理由により有効期間を経過した場合において税関長の承認を受けたときを除き、その証明に係る物品についての(ハ)において、その発給の日から(ニ)以上を経過したものであってはならない。
関税暫定措置法第8条の2第1項に規定する特恵受益国等を原産地とする物品で、同項の特恵関税の適用の対象とされるものであっても、当該特恵受益国等を原産地とする当該物品の有する(ホ)の程度その他の事情を勘案して当該特恵関税を適用することが適当でないと認められる場合においては、当該物品の原産地である特恵受益国等及び当該物品を指定し、当該物品について当該特恵関税を適用しないことができる。","1.(ハ)本邦への到着の日 (ニ)2年 (ホ)価格弾力性
2.(ハ)輸入申告の日 (ニ)1年 (ホ)国際競争力
3.(ハ)輸入の許可の日 (ニ)1年 (ホ)価格弾力性
4.(ハ)本邦への到着の日 (ニ)6月 (ホ)国際競争力
5.(ハ)輸入申告の日 (ニ)6月 (ホ)価格弾力性 ",2,"特恵関税の原産地証明書は、その証明に係る物品についての輸入申告の日（簡易手続の対象となる郵便物の場合は日本郵便株式会社から税関長への提示の日）において、その発給の日から1年以上を経過したものであってはならない。ただし、災害その他やむを得ない理由によりその期間を経過した場合において、税関長の承認を受けたときは、この限りでない(暫令29条)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]

特恵受益国等を原産地とする物品で一般特恵関税の適用対象となる物品であっても、当該特恵受益国等を原産地とする当該物品の有する国際競争力の程度その他の事情を勘案して当該特恵関税を適用することが適当でないと認められる場合においては、当該物品の原産地である特恵受益国等及び当該物品を指定し、当該物品について当該特恵関税を適用しないことができる(国別・品目別特恵適用除外措置 暫8条の2第2項)。
[参照　第3編（関税定率法、関税暫定措置法）-第8章（特恵関税、経済連携協定、WTO協定）-1.特恵税率及びEPA税率の適用要件-（2）特恵税率又はEPA税率の設定されている物品-①特恵税率の設定されている物品]"
