カテゴリー,問題番号,問題,選択肢,正解,解説
通関業法（通関業の許可）,52-1-1,新たに通関業の許可を受けようとする者から申請があった場合において、財務大臣が当該許可に付することができる条件は、取り扱う貨物の(イ)及び(ロ)に限るものとされている。,"1.(イ)種類の限定 (ロ)額の限定
2. (イ)種類の限定 (ロ)許可の期限
3. (イ)通関業務を行うことができる地域の限定 (ロ)件数の限定
4. (イ)通関手続を行う税関官署の限定 (ロ)額の限定
5. (イ)通関手続を行う税関官署の限定 (ロ)許可の期限",2,業法3条2項により、財務大臣は、通関業の許可に条件を付することができるとされ、基本通達3-1により、許可に付することができる条件は、取り扱う貨物の種類の限定及び許可の期限に限るものとされる。
通関業法（通関業の許可）,52-1-2,財務大臣は、通関業の許可をしようとするときは、許可申請に係る通関業の(ハ)が確実であること、許可申請者がその(ニ)に照らして、その行おうとする通関業務を適正に遂行することができる能力を有し、かつ、十分な(ホ)を有することに適合するかどうかを審査しなければならない。,"1.(ハ)財務状況 (ニ)人的構成 (ホ)社会的信用
2.(ハ)収支の状況 (ニ)沿革 (ホ)実績
3.(ハ)収支の状況 (ニ)人的構成 (ホ)実績
4.(ハ)収支の状況 (ニ)財務状況 (ホ)実績
5.(ハ)経営の基礎 (ニ)人的構成 (ホ)社会的信用",5,業法5条1号2号により、財務大臣は、通関業の許可をしようとするときは、許可申請に係る通関業の経営の基礎が確実であることと、許可申請者が、その人的構成に照らして、その行おうとする通関業務を適正に遂行することができる能力を有し、かつ、十分な社会的信用を有することを審査しなければならないとされる。
通関業法（通関業の許可）,52-2-1,通関業者が(イ)した場合で、その通関業の許可の(ロ)についての承認の申請がその(イ)後60日以内にされなかったとき、又は当該承認をしない旨の処分があったときは、当該通関業の許可は消滅する。通関業者が(ハ)の決定を受けたときは、その通関業の許可は消滅する。,"1.(イ)経営破綻 (ロ)移転 (ハ)会社更生手続
2. (イ)経営破綻 (ロ)譲渡 (ハ)民事再生手続
3. (イ)倒産 (ロ)譲渡 (ハ)破産手続開始
4. (イ)死亡 (ロ)承継 (ハ)破産手続開始
5. (イ)死亡 (ロ)譲渡 (ハ)破産手続開始",4,業法10条2号により、通関業者が死亡した場合で、11条の2第2項（許可の承継）の規定による申請が同項に規定する期間内にされなかったとき、又は同項の承認をしない旨の処分があったときは、通関業の許可が消滅するとされる。また、同4号により、通関業者が破産手続開始の決定を受けたときも、通関業の許可が消滅するとされる。
通関業法（通関業の許可）,52-2-2,通関業の許可の消滅に関する財務大臣の公告は、(ニ)して行うこととされている。財務大臣が通関業の許可の取消しをしようとするときは、(ホ)の意見を聞かなければならない。,"1.(ニ)税関のホームページに掲載 (ホ)審査委員
2.(ニ)税関のホームページに掲載 (ホ)有識者
3.(ニ)官報に掲載 (ホ)審査委員
4.(ニ)官報に掲載 (ホ)聴聞会
5.(ニ)税関官署に掲示 (ホ)有識者",1,業法基本通達10-2により、通関業の許可の消滅の公告は、税関のホームページに掲載して行うとされる。併せて、当該公告の内容を税関官署の適宜の見やすい場所に掲示する。また、業法11条2項により、財務大臣は、通関業の許可の取消しをしようとするときは、審査委員の意見を聴かなければならないとされる。
通関業法（通関業者の権利）,52-3-1,"通関業者が他人の依頼に応じて税関官署に対してした納税の申告について、更正をすべき場合において、当該更正が、当該申告に係る貨物の(イ)又は課税価格の相違その他関税に関する法令の適用上の解釈の相違に基因して、(ロ)を(ハ)するものであるときは、税関長は、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならない。
","1.(イ)関税率表の適用上の所属 (ロ)納税すべき関税の額 (ハ)増加
2.(イ)適用する税率 (ロ)納付すべき関税の額 (ハ)変更
3.(イ)原産地の認定 (ロ)適用する税率 (ハ)減少
4.(イ)関税率表の適用上の所属 (ロ)適用する税率 (ハ)増加 
5.(イ)適用する税率 (ロ)納付すべき関税の額 (ハ)減少",1,業法15条本文により、通関業者が他人の依頼に応じて税関官署に対してした納税の申告について、更正をすべき場合において、当該更正が、当該申告に係る貨物の関税率表の適用上の所属又は課税価格の相違その他関税に関する法令の適用上の解釈の相違に基因して、納付すべき関税の額を増加するものであるときは、税関長は、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならないとされている。
通関業法（通関業者の権利）,52-3-2,"税関長は、通関業者の行う通関手続に関し、税関職員に関税法第67条の輸出又は輸入しようとする貨物に対する必要な検査をさせるときは、当該通関業者又はその(ニ)の立会いを求めるため、その旨を当該通関業者に口頭又は書面のいずれかにより通知することとされており、当該通知は(ホ)をもってこれに代えることができる。
","1.(ニ)代理人 (ホ)検査指定表の交付 
2.(ニ)従業者 (ホ)検査結果の通知 
3.(ニ)輸出入者 (ホ)輸出入の許可 
4.(ニ)代理人 (ホ)輸出入の許可
5.(ニ)従業者 (ホ)検査指定表の交付",5,業法16条で、税関長は、通関業者の行なう通関手続に関し、税関職員に関税法第67条の検査をさせるときは、当該通関業者又はその従業者の立会いを求めるため、その旨を当該通関業者に通知しなければならないとされる。また、基本通達16-1(1)で、この検査の通知は口頭又は書面のいずれでも差し支えないものとし、また、検査指定票の交付をもってこれに代えることができるとされる。
通関業法（通関業者・通関士の義務）,52-4-1,"通関業者は、(イ)を(ロ)において依頼者の見やすいように掲示しなければならない。
","1.(イ)通関業務の料金の額 (ロ)主たる事務所
2. (イ)通関業務の料金の額 (ロ)営業所
3. (イ)通関士の氏名 (ロ)主たる事務所
4. (イ)通関士の氏名 (ロ)営業所
5. (イ)通関業許可証 (ロ)主たる事務所",2,業法18条で、通関業者は、通関業務（第7条に規定する関連業務を含む。）の料金の額を営業所において依頼者の見やすいように掲示しなければならないとされる。この料金の額の掲示については、①料金の額を表示する方法（つまり、例えば紙に印刷された料金表を掲示するといったように、料金の額を直接視認できる方法）のほか、② ①に代えてインターネット上で閲覧を可能とする方法により行うことが認められている。②による場合は、料金の額を掲載したホームページのアドレス（QRコードのような二次元コードでもよい。）を営業所において依頼者に見やすいように掲示することが求められる(通関業法基本通達18-2)。なお、③ ①と②を併用して、営業所において料金の額を表示した上でネット閲覧も出来るようにする方法でも構わない。
通関業法（通関業者・通関士の義務）,52-4-2,"通関業者及び通関士その他の通関業務の従業者は、正当な理由がなくて、通関業務に関して知り得た(ハ)を他に漏らし、又は(ニ)してはならない。通関業者及び通関士は、通関業者又は通関士の(ホ)を害するような行為をしてはならない。
","1.(ハ)情報 (ニ)利用 (ホ)信頼
2.(ハ)情報 (ニ)盗用 (ホ)信頼
3.(ハ)情報 (ニ)盗用 (ホ)信用又は品位
4.(ハ)秘密 (ニ)盗用 (ホ)利益
5.(ハ)秘密 (ニ)盗用 (ホ)信用又は品位",5,業法19条では、通関業者（法人である場合には、その役員）及び通関士その他の通関業務の従業者は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならないとされる。また、業法20条では、通関業者（法人である場合には、その役員）及び通関士は、通関業者又は通関士の信用又は品位を害するような行為をしてはならないとされる。
通関業法（通関業者・通関士の義務）,52-5-1,"通関業者は、通関業務に関して帳簿を設け、その(イ)に関する事項を記載し、当該帳簿をその閉鎖の日後(ロ)年間保存するとともに、その取扱いに係る通関業務に関する書類をその作成の日後(ロ)年間保存しなければならない。通関業者は、通関士その他の通関業務の従業者の氏名及びその(ハ)を財務大臣に届け出なければならない。
","1.(イ)売上 (ロ)3 (ハ)役職
2. (イ)売上 (ロ)5 (ハ)給与
3. (イ)収入 (ロ)3 (ハ)異動
4. (イ)収入 (ロ)5 (ハ)異動
5. (イ)利益 (ロ)7 (ハ)役職",3,業法22条1項、施行令8条3項により、通関業者は、通関業務に関して帳簿を設け、その収入に関する事項を記載するとともに、その取扱いに係る通関業務に関する書類を3年間保存しなければならないとされる。また、業法22条2項により、通関業者は、通関士その他の通関業務の従業者の氏名及びその異動を財務大臣に届け出なければならないとされる。
通関業法（通関業者・通関士の義務）,52-5-2,"通関業者は、その取り扱った通関業務についての(ニ)の件数及び受ける料金の額等を記載した報告書を(ホ)財務大臣に提出しなければならない。
","1.(ニ)税関官署別 (ホ)毎月一回
2.(ニ)種類別 (ホ)毎年一回 
3.(ニ)輸出入者別 (ホ)毎月一回
4.(ニ)種類別 (ホ)四半期に一回
5.(ニ)税関官署別 (ホ)毎年一回 ",2,業法22条3項により、通関業者は、その取扱いに係る通関業務の件数等を記載した報告書を毎年一回財務大臣に提出しなければならないとされる。施行令10条1項各号により、この報告書には、報告期間中に取り扱った通関業務についての種類別の件数及び受ける料金の額等を記載することが定められている。
