カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
通関業法（通関業者、通関士等の義務）,58-1-1,A,通関業者は、通関業務を(イ)に行うため、その通関業務を行う(ロ)ごとに、政令で定めるところにより、通関士を置かなければならない。ただし、当該(ロ)において取り扱う通関業務に係る貨物が一定の(ハ)の貨物のみに限られている場合は、この限りでない。,"1.(イ)円滑(ロ)営業所(ハ)価格帯
2.(イ)円滑(ロ)部門又は課(ハ)価格帯
3.(イ)迅速(ロ)部門又は課(ハ)価格帯
4.(イ)迅速(ロ)事業者(ハ)種類
5.(イ)適正(ロ)営業所(ハ)種類",5,"通関業者は、通関業務を適正に行うため、その通関業務を行う営業所ごとに、政令で定めるところにより、通関士を置かなければならない。ただし、当該営業所において取り扱う通関業務に係る貨物が一定の種類の貨物のみに限られている場合は、この限りでない(業13条)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（2）通関士設置義務]"
通関業法（通関業者、通関士等の義務）,58-1-2,A,通関業者は、通関業法第13条の規定により通関士を置かなければならないこととされる営業所ごとに、通関業務に係る貨物の数量及び種類並びに通関業法施行令第6条に規定する(ニ)の数、種類及び内容に応じて(ホ)の通関士を置かなければならない。,"1.(ニ)依頼者(ホ)営業所
2.(ニ)依頼者から依頼を受けたことを証する書類(ホ)事業者
3.(ニ)部門又は課(ホ)専任
4.(ニ)営業所(ホ)複数 
5.(ニ)通関書類(ホ)必要な員数",5,"通関業者は、通関業法13条の規定により通関士を置かなければならないこととされる営業所ごとに、通関業務に係る貨物の数量及び種類並びに通関業法施行令6条に規定する通関書類の数、種類及び内容に応じて必要な員数の通関士を置かなければならない(業令5条)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（2）通関士設置義務]"
通関業法（通関業者の権利）,58-2-1,A,通関業者が他人の依頼に応じて税関官署に対してした納税の申告について、当該申告に係る貨物の関税率表の適用上の所属又は課税価格の相違その他関税に関する法令の適用上の解釈の相違に基因して、(イ)を(ロ)させる更正を行う場合には、税関長は、当該更正が(ハ)誤りその他これに類する客観的に明らかな誤りに基因するものであるときを除き、当該通関業者に対して当該相違に関し意見を述べる機会を与えなければならない。,"1.(イ)課税標準(ロ)増加又は減少(ハ)検査結果の通知
2.(イ)課税標準(ロ)増加又は減少(ハ)通関業務を依頼した者の責めに帰すべき
3.(イ)納付すべき関税の額(ロ)増加又は減少(ハ)通関業務を依頼した者の責めに帰すべき
4.(イ)納付すべき関税の額(ロ)増加(ハ)計算又は転記の
5.(イ)適用される税率(ロ)減少(ハ)計算又は転記の",4,"通関業者が他人の依頼に応じて税関官署に対してした納税の申告について、当該申告に係る貨物の関税率表の適用上の所属又は課税価格の相違その他関税に関する法令の適用上の解釈の相違に基因して、納付すべき関税の額を増加させる更正を行う場合には、税関長は、当該更正が計算又は転記の誤りその他これに類する客観的に明らかな誤りに基因するものであるときを除き、当該通関業者に対して当該相違に関し意見を述べる機会を与えなければならない(業15条)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-2.通関業者の権利-（1）増額更正について意見を述べる権利]"
通関業法（通関業者の権利）,58-2-2,A,税関長は、通関業者の行う通関手続に関し、税関職員に関税法第67条（輸出又は輸入の許可）の検査をさせるときは、当該通関業者又はその従業者の立会いを求めるため、その旨を当該通関業者に(ニ)により通知することとされており、その通知は(ホ)をもってこれに代えることができることとされている。,"1.(ニ)口頭及び書面(ホ)検査結果の通知
2.(ニ)口頭及び書面(ホ)輸出入者への通知
3.(ニ)口頭又は書面のいずれか(ホ)検査結果の通知
4.(ニ)口頭又は書面のいずれか(ホ)検査指定票の交付
5.(ニ)書面のみ(ホ)輸出入者への通知",4,"税関長は、通関業者の行う通関手続に関し、税関職員に関税法67条（輸出又は輸入の許可）の検査をさせるときは、当該通関業者又はその従業者の立会いを求めるため、その旨を当該通関業者に口頭又は書面のいずれかにより通知することとされており、その通知は検査指定票の交付をもってこれに代えることができることとされている(業16条、業通16-1(1))。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-2.通関業者の権利-（2）検査の通知を受ける権利]"
通関業法（通関士の資格喪失）,58-3-1,A,"通関士は、次のいずれかに該当するときは、通関士の資格を喪失し、通関士でなくなるものとされている。
（1）通関業法第31条第1項（確認）の規定による財務大臣の確認を受けた(イ)の(ロ)に従事しないこととなったとき。
（2）偽りその他不正の行為により(ハ)を納付しなかったことにより、(ニ)に該当するに至ったとき。
（3）通関業法第35条第1項（通関士に対する懲戒処分）の規定により(ホ)された者に該当するに至ったとき。","1.(イ)通関業者(ロ)通関業務(ハ)地方税(ニ)罰金の刑に処せられた者(ホ)通関業務に従事することを禁止
2.(イ)通関業者(ロ)通関業務(ハ)手数料(ニ)滞納処分を受けた者(ホ)通関業務に従事することを禁止
3.(イ)通関業者(ロ)通関業務及び関連業務(ハ)手数料(ニ)滞納処分を受けた者(ホ)通関業務及び関連業務に従事することを禁止
4.(イ)雇用主(ロ)通関業務(ハ)反則金(ニ)重加算税を賦課された者(ホ)通関業務及び関連業務に従事することを禁止
5.(イ)雇用主(ロ)通関業務及び関連業務(ハ)手数料(ニ)重加算税を賦課された者(ホ)通関業務に従事することを停止",1,"通関士は、次のいずれかに該当するときは、通関士の資格を喪失し、通関士でなくなるものとされている(業32条)。
（1）通関業法31条第1項（確認）の規定による財務大臣の確認を受けた通関業者の通関業務に従事しないこととなったとき。
（2）偽りその他不正の行為により地方税を納付しなかったことにより、罰金の刑に処せられた者に該当するに至ったとき。
（3）通関業法35条第1項（通関士に対する懲戒処分）の規定により通関業務に従事することを禁止された者に該当するに至ったとき。

（2）は通関業法6条4号の欠格事由に該当するため、これに該当するに至ったことは通関士の資格喪失事由となる(業32条2号)。（3）は通関業法6条8号の欠格事由に該当するため、これに該当するに至ったことは通関士の資格喪失事由となる(業32条2号)

[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（2）消滅事由、取消事由、資格喪失事由-④資格喪失事由]"
通関業法（通関業者に対する業務改善命令）,58-4-1,A,"財務大臣は、通関業の適正な遂行のために必要があると認めるときは、その必要の限度において、通関業者に対し、その(イ)の改善に必要な措置をとるべきことを命ずることができる。
財務大臣は、通関業法第33条の2（業務改善命令）の規定により通関業者に対して業務改善命令を行うこととしたときは、(ロ)、改善のため必要な(ハ)を明記した書面をもって通関業者に通知することとされている。","1.(イ)業務の方法(ロ)経営の基礎に係る改善事項(ハ)条件
2.(イ)業務の方法(ロ)法令遵守規則に係る改善事項(ハ)条件
3.(イ)業務の計画(ロ)改善すべき事項(ハ)期限
4.(イ)業務の運営(ロ)改善すべき事項(ハ)期限
5.(イ)業務の運営(ロ)法令遵守規則に係る改善事項(ハ)期限",4,"財務大臣は、通関業の適正な遂行のために必要があると認めるときは、その必要の限度において、通関業者に対し、その業務の運営の改善に必要な措置をとるべきことを命ずることができる(業33条の2)。
財務大臣は、通関業法第33条の2（業務改善命令）の規定により通関業者に対して業務改善命令を行うこととしたときは、改善すべき事項、改善のため必要な期限を明記した書面をもって通関業者に通知することとされている(業通33の2-3)。
[参照　第8編（通関業法）-第5章（監督処分、懲戒処分等）-2.通関業者に対する業務改善命令]"
通関業法（通関士に対する懲戒処分）,58-4-2,A,財務大臣は、通関士が通関業法又は関税法その他関税に関する法令の規定に違反したときは、その通関士に対し、(ニ)し、1年以内の期間を定めてその者が通関業務に従事することを停止し、又は(ホ)その者が通関業務に従事することを禁止することができる。,"1.(ニ)催告(ホ)3年以内の期間を定めて
2.(ニ)催告(ホ)2年以内の期間を定めて
3.(ニ)戒告 (ホ)2年間
4.(ニ)戒告 (ホ)2年以内の期間を定めて
5.(ニ)通告(ホ)2年以内の期間を定めて",3,"財務大臣は、通関士が通関業法又は関税法その他関税に関する法令の規定に違反したときは、その通関士に対し、戒告し、1年以内の期間を定めてその者が通関業務に従事することを停止し、又は2年間その者が通関業務に従事することを禁止することができる(業35条1項)。
[参照　第8編（通関業法）-第5章（監督処分、懲戒処分等）-3.通関士に対する懲戒処分-（2）懲戒処分の種類]"
通関業法（罰則（通関業法））,58-5-1,A,偽りその他不正の手段により通関業法第3条第1項（通関業の許可）の許可を受けた者は、1年以下の(イ)又は(ロ)以下の罰金に処することとされている。,"1.(イ)拘留(ロ)100万円
2.(イ)拘留(ロ)50万円
3.(イ)拘留(ロ)30万円
4.(イ)拘禁刑(ロ)100万円
5.(イ)拘禁刑(ロ)30万円",4,"偽りその他不正の手段により通関業法3条第1項（通関業の許可）の許可を受けた者は、1年以下の拘禁刑又は100万円以下の罰金に処することとされている(業41条1項1号)。
[参照　第8編（通関業法）-第6章（報告の聴取等、名称の使用制限、権限の委任、罰則（通関業法））-4.罰則]"
通関業法（罰則（通関業法））,58-5-2,A,法人の(ハ)又は法人若しくは人の代理人、使用人その他の従業者が、その法人又は人の業務に関し、通関業法第38条第1項（報告の徴取等）の規定による(ニ)の質問に答弁をしなかった。このとき、当該答弁をしなかった者に対して、同法第43条の規定による(ホ)場合には、その法人又は人に対し、同条の(ホ)こととされている。,"1.(ハ)代表者(ニ)税関職員(ホ)罰金刑を科する
2.(ハ)依頼者(ニ)審査委員(ホ)改善計画書の提出を求める
3.(ハ)依頼者(ニ)依頼者(ホ)報告を徴する
4.(ハ)管理者(ニ)税関職員(ホ)改善計画書の提出を求める
5.(ハ)監査役(ニ)審査委員(ホ)報告を徴する",1,"法人の代表者又は法人若しくは人の代理人、使用人その他の従業者が、その法人又は人の業務に関し、通関業法38条第1項（報告の徴取等）の規定による税関職員の質問に答弁をしなかった。このとき、当該答弁をしなかった者に対して、通関業法43条の規定による罰金刑を課する場合には、その法人又は人に対し、同条の罰金刑を課することとされている(両罰規定 業45条、43条2号)。
[参照　第8編（通関業法）-第6章（報告の聴取等、名称の使用制限、権限の委任、罰則（通関業法））-4.罰則]"
通関業法（定義、目的（通関業法））,58-6-1,A,他人の依頼によってその依頼をした者を代理してする輸入の申告に関し、当該輸入の申告に係る貨物につき必要とされる食品衛生法の規定に基づく食品等の輸入の届出手続は、関連業務に含まれることとされている。,○×,○,"他法令の規定により輸入に関して必要とする届出なので関連業務である(業通7-1(1)チ)。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（3）関連業務]"
