カテゴリー,問題番号,問題,選択肢,正解,解説
通関実務,56-3-1,税関長は、納税申告に係る貨物の輸入の許可前にする更正であって、当該貨物に係る関税の納付前にするものであり、かつ、納付すべき税額を減額するものについては、更正通知書の送達に代えて、当該納税申告に係る書面に記載した納付すべき税額を是正してその旨を当該納税申告をした者に通知することによってすることができる。,○×,○,申告に係る税額等の更正は、税関長が当該更正に係る課税標準、当該更正により納付すべき税額等を記載した更正通知書を送達して行うのが原則である。ただし、納税申告に係る貨物の輸入の許可前にする更正（当該貨物に係る関税の納付前にするもので税額等を減額するものに限る。）は、これらの手続に代えて、納税申告をした者に当該納税申告に係る書面に記載した税額等を是正させ、又はこれを是正してその旨を当該納税申告をした者に通知することによってすることができる(是正による更正 関税法7条の16第4項)。
通関実務,56-3-2,地域的な包括的経済連携協定(RCEP協定)の規定に基づき当該協定の原産品とされる貨物に係る納税申告をした者は、当該貨物について、当該協定の規定に基づく関税の譲許の便益の適用を受けていない場合において、その適用を受けることにより当該納税申告に係る納付すべき税額が過大となるときは、当該貨物の輸入の許可の日から1年以内に限り、税関長に対し、当該納税申告に係る税額について更正の請求をすることができる。,○×,×,"環太平洋パートナーシップに関する包括的及び先進的な協定(TPP協定)の規定に基づき当該協定の原産品とされる貨物に係る納税申告をした者は、当該貨物について、当該協定の規定に基づく関税の譲許の便益の適用を受けていない場合において、その適用を受けることにより当該納税申告に係る納付すべき税額が過大となるときは、当該貨物の輸入の許可の日から1年以内に限り、税関長に対し、当該納税申告に係る税額について更正の請求をすることができる(更正の請求の特例 暫定措置法12条の2)。つまり、最初の納税申告時にTPP協定の適用を受けなかったけれども、その後輸入の許可の日から1年以内に適用を受けることになれば税額が安くなるので、最初の納税申告の税額のままだと安くなった分の税額を過大に納付することになるため、更正の請求ができるのである。

RCEP協定ではなく、TPP協定について本問内容のような規定がある。

原則としてEPA税率は輸入申告の際に適用を求める必要があるので、適用を受けなかったために高い関税を払ってしまったけど、後からやっぱり受けたいと求めることはできない。しかし、TPP協定に基づくEPA税率の場合は、例外的に条件付きで認められているのである。"
通関実務,56-3-3,税関長は、無申告加算税を徴収しようとするときは、納付すべき税額、納期限及び納付場所を記載した納税告知書を送達して納税の告知をしなければならない。,○×, ×,"税関長は、賦課課税方式による関税を徴収しようとするときは、納税の告知をしなければならないのが原則である。しかし例外として、①郵便物の簡易手続きの規定により納付される関税(関税法77条3項)、②公売代金等の充当(85条1項、88条、134条5項)の規定により貨物の公売や売却による代金をもって充てる関税（要は、輸入者が関税払えないから国が輸入貨物を無理矢理売っぱらって売却代金を関税の支払いに充てるときである）③過少申告加算税、無申告加算税及び重加算税については、納税の告知が不要である。したがって、本問は無申告加算税を徴収しようとする場合なので納税の告知は不要となる(9条の3第1項)。

なお、納税の告知は、税関長が、納付すべき税額、納期限及び納付場所を記載した納税告知書を送達して行うのが原則である(同条2項)。"
通関実務,56-3-4,税関長の承認を受けて保税展示場に入れられた外国貨物のうち、当該保税展示場における販売を目的とするもの(関税法第4条第1項第3号の2に掲げるもの)に対し関税を課する場合の基礎となる当該外国貨物の性質及び数量は、当該販売がされた時における現況による。,○×,×,税関長の承認を受けて保税展示場に入れられた外国貨物のうち、当該保税展示場における販売を目的とするもの(関税法4条第1項3号の2に掲げるもの)に対し関税を課する場合の基礎となる当該外国貨物の性質及び数量の課税物件確定時期は、保税展示場に入れる外国貨物に係る承認(62条の3第1項)の時である。
通関実務,56-3-5,延滞税の額の計算の基礎となる関税額が1万円未満である場合においては、延滞税の納付は要しない。,○×,○,延滞税の額の計算の基礎となる関税額が1万円未満である場合においては、延滞税の納付は不要であり、当該関税額に1万円未満の端数がある場合においては、これを切り捨てて計算する(関税法12条3項)。
通関実務,56-4-1,"次に掲げる物品のうち、関税率表第84類(原子炉、ボイラー及び機械類並びにこれらの部分品)に属するものの組み合わせとして正しいのはどれか。
1プリンター
2真空式掃除機
3家庭用冷蔵庫
4スマートフォン
5電気電子機器のくず","1.（1,2）
2.（2,3）
3.（1,3）
4.（4,5）
5.（1,2,3）",3,プリンターは84.43項、真空式掃除機は85.08項、家庭用冷蔵庫は84.18項、スマートフォンは85.17項、電気電子機器のくずは85.49項にそれぞれ属する。
通関実務,56-5-1,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、文書による事前照会は、輸入しようとする貨物の輸入者若しくは輸出者若しくは当該貨物の製法、性状等を把握している利害関係者又はこれらの代理人が行うものとされており、口頭又はインターネットによる事前照会についても、同様とされている。,○×,○,照会できる人は、①輸入しようとする貨物の輸入者か輸出者、②当該貨物の製法、性状等を把握している利害関係者、③これらの代理人、に限られる(関税法基本通達7-18(1))。これは、口頭やインターネットによる照会の場合でも同様である(7-19-1、7-19-2)。
通関実務,56-5-2,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、文書により事前照会をしようとする照会者が、郵便、信書便、宅配便その他これらに準ずる方法によりその照会書、見本又はこれに代わる写真、図面その他の参考資料を提出することを希望する場合について、税関が受け付けることに支障がなく、かつ、効率的な検討に資すると認められるときには、これらの方法により税関の本関に提出することを認めて差し支えないこととされている。,○×,○,文書により事前照会をしようとする照会者は、原則として、照会書、見本又はこれに代わる写真、図面その他の参考資料を税関の窓口へ持参して提出する。しかし、例外として、郵便、信書便、宅配便その他これらに準ずる方法によりこれらを提出することを希望する場合について、税関が受け付けることに支障がなく、かつ、効率的な検討に資すると認められるときには、これらの方法により税関の本関に提出することを認めて差し支えない(関税法基本通達7-18(3)イロ)。
通関実務,56-5-3,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、文書により事前照会が行われた貨物の内容及び当該事前照会に対する回答の内容は、回答後原則として公開することとされており、口頭により事前照会が行われた貨物の内容及び当該事前照会に対する回答の内容についても、同様とされている。,○×,×,文書により事前照会が行われた貨物の内容及び当該事前照会に対する回答の内容は、回答後原則として公開される(関税法基本通達7-18(6))。しかし、口頭により事前照会が行われた貨物の内容や当該事前照会に対する回答の内容は公開されない。原則として、照会の概要及び回答内容等のポイントを記録票にとどめ、回答の内容が軽微なものであれば記録すらしない(7-19-1(4))。
通関実務,56-5-4,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、事前照会に対する口頭又はインターネットによる回答の内容は、照会者の輸入申告の内容を拘束するものではないが、事前照会に対する文書による回答の内容は、照会者の輸入申告の内容を拘束することとされている。,○×,×,「拘束する」とは義務づけるという意味であり、輸入申告の内容を、事前教示の回答の内容に沿って行わなければいけないように義務づけるという意味となる。しかし、回答の内容は、文書による回答なら、それに沿うように輸入申告の内容が尊重される（参考とされる）場合はあっても、輸入申告の内容がそれに沿うことが義務になることまでは規定されていないし、口頭やインターネットによる回答なら尊重すらされない(関税法基本通達7-18(9)、7-19-1(3)ニ(イ)、7-19-2(4))。
