カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
税関事務管理人,57-3-1,B,本邦に住所及び居所(事務所及び事業所を除く。)を有しない個人が貨物を本邦に輸入しようとする場合には、税関関係手続及びこれに関する事項を処理させるための税関事務管理人を定めた上で、関税法の規定に基づく輸入の手続を行わなければならない。,○×,○,"本邦に住所及び居所（事務所及び事業所を除く。）を有しない個人が貨物を本邦に輸入しようとする場合には、税関関係手続及びこれに関する事項を処理する必要があるときは、税関事務管理人を定めなければならない(関95条1項)。「税関関係手続」とは、輸入申告その他関税法又は関税定率法その他の関税に関する法律の規定に基づく手続をいうので(関95条9項)、輸入の手続は輸入申告等を含むから税関関係手続に当たる。
[参照　第2編（関税法）-第22章（税関事務管理人）-1.税関事務管理人を定めるとき]"
輸入通関,57-3-2,A,原産地についての表示がされていない外国貨物については、輸入の許可を受けることができない。,○×,×,"原産地について直接・間接に偽った表示・誤認を生じさせる表示がされている外国貨物については、輸入の許可を受けることができないが(関71条1項)。原産地についての表示がされていない外国貨物については、輸入の許可を受けることができる。
[参照　第2編（関税法）-第3章（輸出入申告）-9.原産地虚偽・誤認表示(輸入のみ)]"
輸入通関,57-3-3,A,関税法第73条第1項の規定による輸入の許可前における貨物の引取りの承認に係る申請があった場合に、輸入貨物である原料の在庫がなく工場の操業等に支障をきたすために、その申請者において特に輸入貨物の引取りを急ぐ理由があると認められるときは、税関長は当該承認をすることができることとされている。,○×,○,"税関長は、その目的が関税の納期限の延長を目的とするような場合等を除いて、輸入許可前引取承認をすることができる(関通73-3-2)。本問は納期限延長の目的ではないので、税関長は輸入許可前引取承認をすることができる。
[参照　第2編（関税法）-第3章（輸出入申告）-11.輸入許可前引取承認(輸入のみ)-（2）承認の要件]"
特恵関税、経済連携協定,57-3-4,A,輸入しようとする貨物について地域的な包括的経済連携協定(RCEP協定)における関税についての特別の規定による便益に係る税率の適用を受けようとする場合には、当該貨物がその種類又は形状によりその原産地が明らかであると税関長が認めたものであっても、当該協定の規定に基づく締約国原産地証明書又は締約国原産品申告書を税関長に提出しなければならない。,○×,×,"経済連携協定における関税についての特別の規定による便益に係る税率の適用を受けようとする場合（つまりEPA税率を適用しようとする場合）は、原則として締約国原産地証明書や締約国原産品申告書等といった貨物の原産地を証明する書類を提出しなければならないが、例外的に、貨物がその種類又は形状によりその原産地が明らかであると税関長が認めたものであれば、インドネシア協定税率又は東南アジア諸国連合協定（ASEAN協定）税率の適用を受けようとする場合を除いて、提出不要となる(関令61条1項2号イ)。そうすると、RCEP協定税率の適用を受けようとする場合は、貨物がその種類又は形状によりその原産地が明らかであると税関長が認めたものであれば、締約国原産地証明書や締約国原産品申告書の提出は不要である。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
輸入通関,57-3-5,B,輸入しようとする貨物について予備審査制に基づく予備申告がされた場合には、当該貨物が保税地域に搬入された後でなければ、税関長は、輸入者に対し、当該貨物に係る税関検査の要否を通知することができないこととされている。,○×,×,"予備申告を行った場合の税関検査の要否の通知時期について、そのような規定はない(平成12年蔵関251号通達 「予備審査制について」)。
[参照　第2編（関税法）-第3章（輸出入申告）-12.予備審査制(輸入のみ)]"
関税率表,57-5-1,C,"次に掲げる物品のうち、関税率表第25類(塩、硫黄、土石類、プラスター、石灰及びセメント)に属するものの組み合わせとして正しいのはどれか。

1食卓塩
2人造コランダム
3図画用のチョーク
4ダイヤモンド
5天然黒鉛","1.（1,2）
2.（1,5）
3.（2,3）
4.（4,5）
5.（1,2,5）",2,食卓塩は25.01項、人造コランダムは28.18項（天然のコランダムは25.13項）、図画用のチョークは96.09項、ダイヤモンドは71.02項、天然黒鉛は25.04項（人造黒鉛は38.01項）にそれぞれ属する。
定義（関税法等）,57-13-1,A,航空機を輸出する場合において、外国における引渡しのため回航されるものについては、その回航のため初めて本邦を出発した後に、その旨を税関に届け出た時が輸出の具体的な時期となる。,○×,×,"「輸出」の具体的な時期は、原則として外国に仕向けられた船舶又は航空機に外国に向けて貨物を積み込んだ時とするが、船舶又は航空機自体の輸出の場合は、外国の国籍又は仮国籍を取得した後（外国における引渡しのため回航されるものにあっては、その回航のため）初めて本邦を出発する時となる(関2条1項2号、関通2-5(1))。船舶や航空機は国籍を取得できるので、国籍や仮の国籍（一時的な国籍）を取得後初めて日本を出発する時とし、外国で引渡しをするために回航（船舶や航空機を動かして輸送すること。）されるものであれば、回航のために初めて日本を出発する時となる。したがって、税関に届け出た時ではない。
[参照　第2編（関税法）-第1章（関税法の定義）-1.定義-（10）輸出、積戻し]"
輸出通関,57-13-2,A,通関業者が輸出申告の前にその輸出貨物の内容を点検して作成した「内容点検確認書」を輸出申告に際し添付したときは、税関長は、当該輸出貨物に係る現品検査を省略することとされている。,○×,×,"内容点検確認書とは、輸出申告や輸入申告の前に貨物の内容を点検して確認したことを示す書類であるが(関通67-1-6、67-3-5)、通関業者がこれを作成して添付したからといって貨物の現品検査（貨物の現物の検査）が必ず省略されるわけではない。
[参照　第2編（関税法）-第3章（輸出入申告）-7.審査、検査]"
輸出通関,57-13-3,A,ふ中扱いに係る貨物についての関税法第67条に規定する検査及び輸出の許可は、当該貨物のはしけへの積載が完了する前に行うことができるものとされている。,○×,×,"ふ中扱い（艀中扱い）に係る輸出貨物についての検査及び許可は、貨物が「はしけ」（＝ふ＝艀）に積載が完了した後に行う(関通67の2-3(2))。
[参照　第2編（関税法）-第3章（輸出入申告）-1.申告先-（2）例外1 本船扱い、ふ中扱い]"
輸出通関,57-13-4,A,輸出の許可後に貨物の価格を変更しようとする場合(数量の変更に伴い価格を変更しようとする場合を除く。)において、輸出申告書に記載した価格が20万円未満であり、かつ、本来輸出申告書に記載すべきであった価格が20万円未満であるときは、税関長は、輸出申告書に記載した貨物の価格の訂正を省略させることができることとされている。,○×,○,"輸出許可後に貨物の価格に変更があったときは、原則として「船名・数量等変更申請書」という書類に輸出許可書を添付して税関に提出する(関通67-1-14(1))。しかし、貨物の数量の変更はないが、貨物の価格に変更がある場合で、輸出申告書に記載した価格も本来輸出申告書に記載すべきである価格も共に20万円未満であるならば、税関長は価格訂正を省略させることができる(関通67-1-14(3))。
[参照　第2編（関税法）-第3章（輸出入申告）-15.輸出許可内容の変更]"
減免戻し税,57-13-5,B,関税定率法第17条第1項第1号の規定により再輸出免税の適用を受けて輸入された加工材料を輸入後に加工した貨物について、当該加工材料の輸入の許可の日から1年以内に輸出しようとする者は、税関長の承認を受けることにより、その輸出申告の際に、その輸入の許可書又はこれに代わる税関の証明書について税関長への提出を省略することができる。,○×,×,"再輸出免税(関率17条1項1号)の適用を受けて輸入された加工材料を輸入後に加工した貨物を、加工材料の輸入の許可の日から1年以内に輸出しようとする者は、その輸出申告の際に、その輸入の許可書又はこれに代わる税関の証明書について税関長へ提出しなければならず(関率令39条1項)、税関長の承認を受けることでこの提出を省略できるとの規定はない。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-1.再輸出免税（関率17条）-（3）手続]"
特恵関税、経済連携協定,57-17-1,A,経済上の連携に関する日本国とオーストラリアとの間の協定に基づく締約国原産品申告書は、輸入貨物に係る輸入者が自ら作成することができる。,○×,○,"オーストラリア協定に基づく締約国原産品申告書は、生産者、輸入者、輸出者のいずれかが作成できる(関令61条1項2号イ(2)、関通68-5-11の3(1)、オーストラリア協定3·16条)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
特恵関税、経済連携協定,57-17-2,A,包括的な経済上の連携に関する日本国及び東南アジア諸国連合構成国の間の協定に基づく締約国原産品申告書は、輸入貨物に係る輸入者が自ら作成することができる。,○×,×,"包括的な経済上の連携に関する日本国及び東南アジア諸国連合構成国の間の協定（アセアン包括協定）においては、締約国原産品申告書の提出によるEPA税率の適用は認められておらず、締約国原産地証明書の提出による証明となる(関令61条1項2号イ(1)、関通68-5-11(1)、アセアン包括協定附属書4)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
特恵関税、経済連携協定,57-17-3,A,経済上の連携に関する日本国と欧州連合との間の協定に基づく締約国原産品申告書は、輸入貨物に係る輸入者が自ら作成することができる。,○×,○,"経済上の連携に関する日本国と欧州連合との間の協定（EU協定）に基づく締約国原産品申告書は、生産者、輸入者、輸出者のいずれかが作成できる(関令61条1項2号イ(2)、関通68-5-11の3(1)、EU協定3·1条(c)、3·16条2(a)(b))。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
特恵関税、経済連携協定,57-17-4,A,日本国とアメリカ合衆国との間の貿易協定に基づく締約国原産品申告書は、輸入貨物に係る輸入者が自ら作成することができる。,○×,○,"日本国とアメリカ合衆国との間の貿易協定（日米貿易協定）に基づく締約国原産品申告書は、輸入者のみが作成できる(関令61条1項2号イ(2)、関通68-5-11の3(1)、日米貿易協定附属書1第C節第1款9(c))。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
特恵関税、経済連携協定,57-17-5,A,包括的な経済上の連携に関する日本国とグレートブリテン及び北アイルランド連合王国との間の協定に基づく締約国原産品申告書は、輸入貨物に係る輸入者が自ら作成することができる。,○×,○,"包括的な経済上の連携に関する日本国とグレートブリテン及び北アイルランド連合王国との間の協定（英国協定）に基づく締約国原産品申告書は、生産者、輸入者、輸出者のいずれかが作成できる(関令61条1項2号イ(2)、関通68-5-11の3(1)、英国協定3·16条2(a)(b)、3·1条(c))。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
