カテゴリー,問題番号,問題,選択肢,正解,解説
通関実務,52-3-1,税関長は、納税申告に係る貨物の関税の納付前にする更正であって、課税標準又は納付すべき税額を減額するものについては、更正通知書の送達に代えて、当該納税申告をした者に当該納税申告に係る書面に記載した課税標準又は納付すべき税額を是正させることによってすることができる。,○×,○,課税標準又は納付すべき税額（「税額等」という。）の更正又は、更正通知書を送達して行うのが原則である。例外的に、納税申告に係る貨物の輸入の許可前にする更正（当該貨物に係る関税の納付前にするもので税額等を減額するものに限る。）については、納税申告をした者に、その納税申告に係る書面に記載した税額等を是正させ、又はこれを是正してその旨を納税申告をした者に通知することによって行うことができるとされる(関税法7条の16第4項)。公式解答では正解とされているが、本問では、関税の納付前かつ減額更正であるという条件については書いているものの、輸入許可前という条件について書かれていない。通常は関税を納付後に輸入許可を受けるので関税納付前であれば輸入許可前となるが、納期限延長がされた場合は関税納付前でも輸入許可後ということがあるので、輸入許可前という条件について書かれていない本問は不正解ではないかという疑問が残る。
通関実務,52-3-2,申告納税方式が適用される貨物を輸入する場合であっても、当該貨物に係る関税が無税のときは、当該貨物に係る関税の納付に関する申告は要しない。,○×,×,申告納税方式が適用される貨物については、原則として納付すべき税額又は納付すべき税額がないことが納税義務者の申告により確定することを前提としているため(関税法6条の2第1項)、関税が無税の場合であっても、輸入しようとする貨物に係る関税の納付に関する申告が必要である。
通関実務,52-3-3,税関長は、輸入の許可前における貨物の引取りの承認を受けて引き取られた貨物に係る課税標準又は納付すべき税額につきその納税申告に誤りがないと認めた場合には、当該申告に係る税額及びその税額を納付すべき旨(関税の納付を要しないときは、その旨)のほか、当該貨物に係る輸入申告書の番号及び品名その他参考となるべき事項を、書面により、当該引取りの承認を受けた者に通知する。,○×,○,納付すべき税額が輸入申告どおりの場合、税関長は、納付通知書を輸入許可前引取りの承認を受けた者に通知する。この詳細については本問に書かれた通りである。一方、納付すべき税額が輸入申告による税額と異なっている場合、税関長はその税額等を更正し、更正通知書を輸入許可前引取りの承認を受けた者に通知する(関税法7条の17、同法施行令5条、同法基本通達7の17-1)。
通関実務,52-3-4,税関長は、過少申告加算税を徴収しようとするときは、納付すべき税額、納期限及び納付場所を記載した納税告知書を送達することにより、納税の告知をしなければならない。,○×,×,税関長は、賦課課税方式による関税を徴収しようとするときは、原則として納税の告知をする必要があり、この納税の告知は、税額、納期限、納付場所を記載した納税告知書を送達することにより行われるが、賦課課税方式である過少申告加算税を徴収しようとするときは、納税の告知は不要である(関税法9条の3第1項3号)。過少申告加算税の徴収は、賦課決定に係る課税標準、納付すべき税額等を記載した賦課決定通知書を送達して行われる(同法8条4項)。
通関実務,52-3-5,"関税を納付しようとする者は、その納付すべき税額が1,000万円未満の場合であって、当該関税を納付しようとする者のクレジットカードによって決済することができる金額以下であるときは、当該クレジットカードの決済に係る業務を行う会社に対し、その納付を委託することができる。",○×,○,当該クレジットカードの決済に係る業務を行う会社が納付受託者であれば(関税法9条の6)その通りとなる(同法9条の5第1項1号、同法施行規則1条の8第1項)。本問は、出題当時は誤りであったが、その後令和3年度法改正により前述の規定が新設されたことから、現在ではどちらかといえば正解となるが、前述のように「当該クレジットカードの決済に係る業務を行う会社が納付受託者であれば」という条件を満たすことが必要なので、現在の法令に従えば試験問題としては答えが明確ではなくなる。
通関実務,52-5-1,架空の貨物については、事前照会の対象とされていない。,○×,○,"対象となる照会は、

①架空の貨物に係る照会ではなく、具体的な貨物に係る照会であること

②照会者が照会書及び資料を提出するとともに、照会内容の審査の際に、審査に必要な追加的な資料の提出が行われること

③照会者及びその利害関係者が、照会に係る貨物について不服申立て又は訴訟中である等、関税率表適用上の所属区分等又は原産地に係る紛争等が生じていないもの

④輸入申告中の貨物についての照会である場合等、事前教示の趣旨に反しないもの

の全てを満たすものである(関税法基本通達7-18(2))。本問は①のことであり、正しい。"
通関実務,52-5-2,輸出予定の貨物については、事前照会の対象とされていない。,○×,○,関税法基本通達7-18(2)ハ(ロ)により、輸入申告中の貨物についての照会である場合「等」（は事前教示の趣旨に反するので照会の対象とならないが）、事前教示の趣旨に反しないものは事前照会の対象とされないとする。「等」の部分に、事前教示の趣旨に反するものが含まれるのだが、この判断が少し難しい。要は、輸入申告前に分類するのに適切な品目を教えてもらって正しい納税申告をするというのがここにいう趣旨なので、輸入申告前の貨物に限るよと考えておけばよい。したがって、輸「出」予定の貨物については、事前照会の対象とされていないと考える。
通関実務,52-5-3,輸入申告中の貨物については、事前照会の対象とされている。,○×,×,"対象となる照会は、

①架空の貨物に係る照会ではなく、具体的な貨物に係る照会であること

②照会者が照会書及び資料を提出するとともに、照会内容の審査の際に、審査に必要な追加的な資料の提出が行われること

③照会者及びその利害関係者が、照会に係る貨物について不服申立て又は訴訟中である等、関税率表適用上の所属区分等又は原産地に係る紛争等が生じていないもの

④輸入申告中の貨物についての照会である場合等、事前教示の趣旨に反しないもの

の全てを満たすものである(関税法基本通達7-18(2))。④は、輸入申告中の貨物についての照会である場合等（は事前教示の趣旨に反するので照会の対象とならないが）、事前教示の趣旨に反しないものは事前照会の対象とされないという意味である。本問は輸入申告中の貨物についての照会であるから④を満たさず事前照会の対象とされていない。"
通関実務,52-5-4,文書により行われた回答について、照会者が、再検討を希望するものとして意見を申し出る場合には、当該照会者は、当該回答の交付又は送達を受けた日の翌日から起算して3月以内に、「事前教示回答書(変更通知書)に関する意見の申出書」を、当該回答を行った税関に提出しなければならない。,○×,×,「3月」ではなく「2月」である(関税法基本通達7-18(8)イ)。
通関実務,52-5-5,事前照会に係る貨物の内容及び回答の内容については、その内容が行政機関の保有する情報の公開に関する法律に定める不開示情報に該当する場合には、その回答書の交付又は送達のあった日の翌日から起算して180日を経過した日後に公開することとされている。,○×,×,行政機関の保有する情報の公開に関する法律（※このような名前の法律がある）に定める不開示情報に該当すると考えられる部分や守秘義務に抵触すると考えられる部分については、当該部分を伏せて公開するため、回答書の交付又は送達のあった日の翌日から起算して180日を経過した日後でも不開示部分は公開されない(関税法基本通達7-18(6))。
